Timestamp_s,RED,IR
15.7033,89828,91859
15.7043,88914,90087
15.7053,87683,88268
15.708,85720,85575
15.7101,83863,83252
15.7134,81545,80499
15.7179,78734,77250
15.7206,75663,73882
15.721,72919,70853
15.7221,70788,68571
15.7221,69779,67424
15.7232,70080,67620
15.7232,71059,68574
15.7242,73084,70579
15.7242,76307,73988
15.7242,79279,77215
16.1699,81620,79940
16.1735,83552,82494
16.1735,85419,85425
16.1735,86719,88668
16.1832,88695,94660
16.1859,93236,104741
16.1958,100572,117787
16.1998,106232,126826
16.2068,109487,131853
16.2133,111296,134501
16.2148,112428,136299
16.2148,113087,137562
16.2148,113565,138463
16.2227,113870,139157
16.2248,114011,139545
16.2292,114130,139794
16.2312,114203,140094
16.2312,113579,139506
16.2322,111857,137513
16.2322,109386,133840
16.2332,106520,128846
16.2332,103670,122986
16.2332,102163,117885
16.2345,101536,114330
16.2345,100162,109601
16.6732,98596,105587
16.6772,97271,102652
16.6772,96187,100556
16.683,95494,99538
16.6876,95066,99180
16.6936,94698,99107
16.6947,94314,98627
16.6998,93648,97048
16.7035,93280,95459
16.7045,91856,92470
16.7067,87158,86351
16.708,79117,77535
16.7091,69985,68019
16.7111,63310,60805
16.7145,60712,58031
16.7145,58980,56189
16.7195,59165,56228
16.7219,60362,57331
16.7219,63454,60188
16.7229,70830,67592
16.7229,80566,78271
16.7229,85745,86976
16.7239,84341,89720
16.7239,84375,93103
16.7239,92521,107865
17.1665,103429,124184
17.1665,109388,132650
17.1665,111093,134821
17.1665,111600,134397
17.175,111416,133461
17.1881,111121,132599
17.1931,111196,132533
17.1981,111418,132772
17.1995,111659,132519
17.2073,110050,130283
17.2127,104495,122813
17.2156,101088,111728
17.2176,96663,102839
17.2254,82001,88667
17.2286,78595,83690
17.232,87225,95870
17.234,88739,94803
17.236,92959,96254
17.238,94796,96518
17.241,95594,96403
17.244,96150,96357
17.246,97339,96484
17.247,97790,95958
17.247,98239,96355
17.248,98237,97642
17.6685,94661,97403
17.6734,92776,101411
17.6793,100605,112275
17.6813,102954,116341
17.6849,106211,122853
17.6878,108454,127660
17.6908,109776,130604
17.6918,110678,132668
17.7023,111378,134187
17.7033,111881,135440
17.706,112302,136408
17.7197,112630,137232
17.7265,112902,137863
17.7338,113147,138414
17.7358,113337,138794
17.7439,113421,139058
17.7469,113457,139220
17.7488,113520,139283
17.7528,113498,139269
17.7538,113398,139073
17.7548,113262,138790
17.7573,113024,138241
17.7583,112666,137354
17.764,112204,136345
17.766,111833,135432
18.1634,111512,134680
18.1674,111359,134205
18.1674,111190,133929
18.1674,111130,133804
18.1742,111050,133701
18.1755,111041,133612
18.1776,110975,133549
18.1808,110968,133523
18.1818,110924,133375
18.1838,110797,133194
18.1995,110640,132985
18.2107,110537,132669
18.215,110435,132392
18.2195,110274,132080
18.2195,110195,131855
18.2281,110131,131725
18.2323,110121,131644
18.2423,110077,131568
18.2513,110057,131550
18.2561,110047,131433
18.2583,109967,131325
18.2674,109883,131077
18.2694,109719,130724
18.2751,109503,130303
18.2788,109237,129775
18.6675,108961,129201
18.6675,108722,128668
18.6675,108538,128237
18.6675,108394,127896
18.6761,108315,127706
18.6781,108261,127593
18.6797,108209,127484
18.6808,108165,127367
18.684,108117,127273
18.699,108069,127143
18.7068,108009,127033
18.739,107957,126964
18.7663,107929,126887
18.7775,107864,126806
18.7824,107819,126723
18.7936,107754,126607
18.7999,107600,126301
18.8002,107353,125738
18.8031,107053,125085
18.8064,106829,124550
18.8087,106653,124145
18.8101,106546,123881
18.8101,106477,123747
18.817,106469,123705
18.8203,106458,123690
19.175,106453,123680
19.177,106445,123694
19.1846,106421,123685
19.1882,106408,123646
19.1901,106380,123590
19.1932,106339,123501
19.2045,106292,123428
19.2071,106269,123386
19.2205,106240,123321
19.2275,106247,123335
19.2323,106262,123337
19.2343,106272,123388
19.2405,106316,123475
19.2436,106367,123600
19.2446,106392,123658
19.2492,106414,123729
19.2513,106415,123782
19.2552,106431,123827
19.2567,106429,123861
19.2567,106394,123898
19.2577,106445,123936
19.2577,106473,124007
19.2587,106521,124081
19.2587,106551,124166
19.2597,106620,124285
19.6566,106680,124411
19.6698,106749,124570
19.6718,106834,124758
19.6874,106899,124944
19.6924,106988,125089
19.7012,107042,125217
19.7043,107129,125367
19.7113,107190,125567
19.714,107291,125775
19.714,107376,125952
19.7184,107416,126092
19.7306,107351,125996
19.7415,107202,125667
19.7446,107015,125270
19.7486,106874,124956
19.756,106797,124803
19.756,106814,124796
19.7621,106901,124934
19.7633,106958,125069
19.7643,107044,125228
19.7653,107086,125388
19.7663,107179,125573
19.7693,107261,125772
19.7733,107323,125937
19.7764,107327,125985
20.1716,107375,126001
20.1716,107340,126005
20.1716,107410,126019
20.1884,107392,126076
20.1987,107422,126166
20.2036,107499,126291
20.2101,107535,126441
20.2136,107599,126560
20.2216,107710,126709
20.2275,107735,126877
20.2325,107790,127014
20.2354,107833,127114
20.2374,107837,127193
20.2391,107888,127256
20.2421,107933,127289
20.2482,107918,127338
20.2504,107942,127339
20.2504,107972,127370
20.2513,107960,127410
20.2513,107965,127430
20.2513,107960,127420
20.2523,107976,127439
20.2523,107957,127465
20.2533,107978,127500
20.2533,107983,127520
20.6732,107995,127599
20.6732,108015,127647
20.6834,108050,127673
20.6863,108063,127757
20.6939,108019,127679
20.6994,107870,127361
20.7013,107641,126882
20.7152,107462,126383
20.7205,107310,126015
20.7249,107213,125797
20.7279,107197,125696
20.7325,107181,125700
20.7354,107188,125735
20.7421,107200,125757
20.745,107205,125800
20.7459,107231,125838
20.7492,107237,125856
20.7517,107202,125799
20.7537,107168,125733
20.7557,107137,125656
20.7573,107129,125580
20.7632,107085,125547
20.7643,107078,125509
20.7653,107090,125520
20.7653,107125,125607
21.1681,107162,125746
21.1737,107230,125891
21.1758,107274,126012
21.1878,107323,126122
21.1926,107346,126185
21.2018,107367,126266
21.2065,107402,126353
21.2125,107415,126372
21.2203,107431,126435
21.2203,107466,126501
21.2334,107498,126547
21.2413,107509,126616
21.2413,107525,126636
21.2513,107542,126618
21.2523,107526,126578
21.2551,107522,126546
21.2586,107508,126554
21.2626,107531,126624
21.2653,107571,126735
21.2683,107618,126888
21.2711,107663,127004
21.2961,107691,127102
21.2961,107663,127021
21.3173,107472,126606
21.3376,107204,125999
21.6597,106989,125458
21.6753,106857,125057
21.6753,106772,124861
21.7056,106756,124796
21.7116,106739,124790
21.7254,106759,124823
